条文校正数,流年字母,流年岁数,基数,加数
18,和,38,4150,330
19,萨,38,7457,345
20,省,38,8348,513
1,动,40,6587,584
2,弟,40,8906,776
3,器,40,3737,398
4,等,40,5633,364
5,旦,40,5755,544
6,鲁,40,4286,931
7,屯,40,5452,200
8,玄,40,7252,794
9,亶,40,6607,724
10,訾,40,7150,904
11,吏,40,3779,816
12,社,40,5670,392
13,坷,40,4446,596
14,西,40,8848,177
15,刀,40,5645,654
16,禄,40,4267,745
17,龙,40,4036,559
18,和,40,4201,330
19,萨,40,9274,345
20,省,40,9630,513
1,福,41,848,162
2,方,41,1545,318
3,神,41,1993,681
4,桃,41,506,968
5,滞,41,1970,177
6,粉,41,2630,474
7,问,41,2808,630
8,物,41,1936,849
9,忆,41,1882,351
10,召,41,2338,525
11,勿,41,3834,786
12,分,41,871,992
13,肾,41,2182,492
14,舌,41,3665,699
15,离,41,4420,873
16,务,41,4221,187
17,娼,41,4603,373
18,尾,41,2851,200
19,誓,41,5819,184
20,绍,41,4196,168
1,福,43,1024,162
2,方,43,2240,318
3,神,43,410,681
4,桃,43,581,968
5,滞,43,2865,177
6,粉,43,2505,474
7,问,43,2406,630
8,物,43,338,849
9,忆,43,2873,351
10,召,43,3249,525
11,勿,43,3224,786
12,分,43,1566,992
13,肾,43,599,492
14,舌,43,3319,699
15,离,43,4462,873
16,务,43,3901,187
17,娼,43,4050,373
18,尾,43,2755,200
19,誓,43,5163,184
20,绍,43,3850,168
1,福,45,1401,162
2,方,45,2024,318
3,神,45,407,681
4,桃,45,83,968
5,滞,45,1495,177
6,粉,45,2674,474
7,问,45,2592,630
8,物,45,444,849
9,忆,45,1654,351
10,召,45,1617,525
11,勿,45,2721,786
12,分,45,1350,992
13,肾,45,596,492
14,舌,45,1801,699
15,离,45,2181,873
16,务,45,4264,187
17,娼,45,4072,373
18,尾,45,1823,200
19,誓,45,3708,184
20,绍,45,2332,168
1,福,47,1041,162
2,方,47,2805,318
3,神,47,3254,681
4,桃,47,76,968
5,滞,47,1926,177
6,粉,47,3653,474
7,问,47,1808,630
8,物,47,4060,849
9,忆,47,2371,351
10,召,47,3135,525
11,勿,47,3683,786
12,分,47,2131,992
13,肾,47,3443,492
14,舌,47,3178,699
15,离,47,4362,873
16,务,47,4307,187
17,娼,47,4078,373
18,尾,47,801,200
19,誓,47,5231,184
20,绍,47,3709,168
1,福,49,6233,162
2,方,49,6372,318
3,神,49,7293,681
4,桃,49,5427,968
5,滞,49,6672,177
6,粉,49,6642,474
7,问,49,6718,630
8,物,49,7907,849
9,忆,49,6920,351
10,召,49,6805,525
11,勿,49,6969,786
12,分,49,5698,992
13,肾,49,7482,492
14,舌,49,7177,699
15,离,49,7749,873
16,务,49,7630,187
17,娼,49,750,373
18,尾,49,8645,200
19,誓,49,7975,184
20,绍,49,7708,168
1,福,51,876,162
2,方,51,847,318
3,神,51,345,681
4,桃,51,45,968
5,滞,51,1814,177
6,粉,51,1467,474
7,问,51,2503,630
8,物,51,518,849
9,忆,51,1871,351
10,召,51,2283,525
11,勿,51,3009,786
12,分,51,173,992
13,肾,51,534,492
14,舌,51,2567,699
15,离,51,3097,873
16,务,51,3890,187
17,娼,51,4092,373
18,尾,51,1634,200
19,誓,51,4561,184
20,绍,51,3098,168
1,福,53,1362,162
2,方,53,1638,318
3,神,53,496,681
4,桃,53,438,968
5,滞,53,1842,177
6,粉,53,2120,474
7,问,53,2760,630
8,物,53,578,849
9,忆,53,2021,351
10,召,53,2023,525
11,勿,53,3022,786
12,分,53,964,992
13,肾,53,685,492
14,舌,53,2228,699
15,离,53,4066,873
16,务,53,3625,187
17,娼,53,3935,373
18,尾,53,2146,200
19,誓,53,5224,184
20,绍,53,2759,168
1,福,55,1726,162
2,方,55,2093,318
3,神,55,450,681
4,桃,55,175,968
5,滞,55,1196,177
6,粉,55,2694,474
7,问,55,2591,630
8,物,55,636,849
9,忆,55,1457,351
10,召,55,1672,525
11,勿,55,2583,786
12,分,55,1419,992
13,肾,55,639,492
14,舌,55,2082,699
15,离,55,2454,873
16,务,55,3199,187
17,娼,55,3025,373
18,尾,55,2700,200
19,誓,55,3674,184
20,绍,55,2613,168
1,福,57,991,162
2,方,57,1511,318
3,神,57,580,681
4,桃,57,410,968
5,滞,57,1568,177
6,粉,57,1724,474
7,问,57,2452,630
8,物,57,876,849
9,忆,57,2016,351
10,召,57,2940,525
11,勿,57,2709,786
12,分,57,837,992
13,肾,57,769,492
14,舌,57,3301,699
15,离,57,3402,873
16,务,57,3335,187
17,娼,57,3222,373
18,尾,57,2361,200
19,誓,57,4846,184
20,绍,57,3832,168
1,福,59,877,162
2,方,59,905,318
3,神,59,509,681
4,桃,59,151,968
5,滞,59,1710,177
6,粉,59,2289,474
7,问,59,2857,630
8,物,59,2346,849
9,忆,59,2590,351
10,召,59,3300,525
11,勿,59,3101,786
12,分,59,231,992
13,肾,59,698,492
14,舌,59,4245,699
15,离,59,4355,873
16,务,59,3853,187
17,娼,59,4272,373
18,尾,59,3603,200
19,誓,59,4822,184
20,绍,59,4776,168
1,福,61,1537,162
2,方,61,2121,318
3,神,61,787,681
4,桃,61,112,968
5,滞,61,1689,177
6,粉,61,2913,474
7,问,61,2819,630
8,物,61,2240,849
9,忆,61,2018,351
10,召,61,3541,525
11,勿,61,3364,786
12,分,61,1447,992
13,肾,61,976,492
14,舌,61,4325,699
15,离,61,5656,873
16,务,61,4181,187
17,娼,61,4065,373
18,尾,61,3367,200
19,誓,61,5934,184
20,绍,61,4072,168
1,福,63,844,162
2,方,63,1220,318
3,神,63,713,681
4,桃,63,548,968
5,滞,63,1736,177
6,粉,63,1345,474
7,问,63,2566,630
8,物,63,576,849
9,忆,63,2492,351
10,召,63,3033,525
11,勿,63,3552,786
12,分,63,546,992
13,肾,63,902,492
14,舌,63,6637,699
15,离,63,7598,873
16,务,63,4371,187
17,娼,63,4703,373
18,尾,63,3264,200
19,誓,63,8755,184
20,绍,63,7163,168
1,福,65,935,162
2,方,65,1759,318
3,神,65,552,681
4,桃,65,417,968
5,滞,65,1747,177
6,粉,65,2414,474
7,问,65,3004,630
8,物,65,1586,849
9,忆,65,2526,351
10,召,65,3419,525
11,勿,65,3636,786
12,分,65,1085,992
13,肾,65,741,492
14,舌,65,4080,699
15,离,65,4126,873
16,务,65,4259,187
17,娼,65,4184,373
18,尾,65,2308,200
19,誓,65,5910,184
20,绍,65,4611,168
1,福,67,938,162
2,方,67,1549,318
3,神,67,533,681
4,桃,67,87,968
5,滞,67,1333,177
6,粉,67,3217,474
7,问,67,4003,630
8,物,67,1647,849
9,忆,67,1891,351
10,召,67,2463,525
11,勿,67,5142,786
12,分,67,875,992
13,肾,67,722,492
14,舌,67,2892,699
15,离,67,3311,873
16,务,67,5860,187
17,娼,67,5694,373
18,尾,67,2954,200
19,誓,67,5411,184
20,绍,67,3423,168
1,福,69,976,162
2,方,69,945,318
3,神,69,512,681
4,桃,69,10304,968
5,滞,69,10484,177
6,粉,69,1954,474
7,问,69,2419,630
8,物,69,1726,849
9,忆,69,9048,351
10,召,69,4873,525
11,勿,69,3239,786
12,分,69,271,992
13,肾,69,701,492
14,舌,69,6769,699
15,离,69,6550,873
16,务,69,4605,187
17,娼,69,4793,373
18,尾,69,2993,200
19,誓,69,3251,184
20,绍,69,7300,168
1,动,42,5836,584
2,弟,42,6072,776
3,器,42,3859,398
4,等,42,5993,364
5,旦,42,4544,544
6,鲁,42,4616,931
7,屯,42,5622,200
8,玄,42,4588,794
9,亶,42,5944,724
10,訾,42,6004,904
11,吏,42,4182,816
12,社,42,5785,392
13,坷,42,4024,596
14,西,42,7478,177
15,刀,42,4434,654
16,禄,42,4516,745
17,龙,42,4439,559
18,和,42,5052,330
19,萨,42,6563,345
20,省,42,7379,513
1,动,44,6187,584
2,弟,44,6184,776
3,器,44,3091,398
4,等,44,6266,364
5,旦,44,6279,544
6,鲁,44,4381,931
7,屯,44,5641,200
8,玄,44,3518,794
9,亶,44,6463,724
10,訾,44,6547,904
11,吏,44,3615,816
12,社,44,5840,392
13,坷,44,3042,596
14,西,44,7435,177
15,刀,44,6169,654
16,禄,44,4287,745
17,龙,44,3872,559
18,和,44,3982,330
19,萨,44,7421,345
20,省,44,7442,513
1,动,46,5278,584
2,弟,46,5155,776
3,器,46,2008,398
4,等,46,3741,364
5,旦,46,5302,544
6,鲁,46,4041,931
7,屯,46,5233,200
8,玄,46,4357,794
9,亶,46,5391,724
10,訾,46,6111,904
11,吏,46,3635,816
12,社,46,5457,392
13,坷,46,1937,596
14,西,46,7145,177
15,刀,46,5192,654
16,禄,46,4107,745
17,龙,46,3892,559
18,和,46,4821,330
19,萨,46,7447,345
20,省,46,7297,513
1,动,48,8878,584
2,弟,48,8560,776
3,器,48,1241,398
4,等,48,6518,364
5,旦,48,4842,544
6,鲁,48,4345,931
7,屯,48,5975,200
8,玄,48,2006,794
9,亶,48,6046,724
10,訾,48,6262,904
11,吏,48,3757,816
12,社,48,7159,392
13,坷,48,1702,596
14,西,48,7538,177
15,刀,48,4732,654
16,禄,48,3872,745
17,龙,48,4014,559
18,和,48,2470,330
19,萨,48,7568,345
20,省,48,7685,513
1,动,50,8263,584
2,弟,50,8190,776
3,器,50,8588,398
4,等,50,8076,364
5,旦,50,7843,544
6,鲁,50,2493,931
7,屯,50,3860,200
8,玄,50,9644,794
9,亶,50,8020,724
10,訾,50,7896,904
11,吏,50,794,816
12,社,50,4117,392
13,坷,50,8609,596
14,西,50,9073,177
15,刀,50,7733,654
16,禄,50,2110,745
17,龙,50,1051,559
18,和,50,10108,330
19,萨,50,11302,345
20,省,50,11402,513
1,动,52,5325,584
2,弟,52,5157,776
3,器,52,2408,398
4,等,52,4718,364
5,旦,52,7426,544
6,鲁,52,4109,931
7,屯,52,5014,200
8,玄,52,4776,794
9,亶,52,5063,724
10,訾,52,5751,904
11,吏,52,3722,816
12,社,52,5048,392
13,坷,52,3967,596
14,西,52,6622,177
15,刀,52,7316,654
16,禄,52,3838,745
17,龙,52,3979,559
18,和,52,5240,330
19,萨,52,6541,345
20,省,52,7843,513
1,动,54,5140,584
2,弟,54,5063,776
3,器,54,3316,398
4,等,54,7461,364
5,旦,54,7543,544
6,鲁,54,3886,931
7,屯,54,4933,200
8,玄,54,5656,794
9,亶,54,8132,724
10,訾,54,8052,904
11,吏,54,3680,816
12,社,54,5246,392
13,坷,54,3498,596
14,西,54,9039,177
15,刀,54,7433,654
16,禄,54,3938,745
17,龙,54,3937,559
18,和,54,6120,330
19,萨,54,8861,345
20,省,54,8779,513
1,动,56,4799,584
2,弟,56,4923,776
3,器,56,2925,398
4,等,56,3992,364
5,旦,56,4539,544
6,鲁,56,3872,931
7,屯,56,4783,200
8,玄,56,4345,794
9,亶,56,4433,724
10,訾,56,4401,904
11,吏,56,3290,816
12,社,56,4682,392
13,坷,56,3463,596
14,西,56,5129,177
15,刀,56,4429,654
16,禄,56,3865,745
17,龙,56,3547,559
18,和,56,4809,330
19,萨,56,5143,345
20,省,56,5158,513
1,动,58,5375,584
2,弟,58,5785,776
3,器,58,3598,398
4,等,58,5271,364
5,旦,58,5521,544
6,鲁,58,3711,931
7,屯,58,5252,200
8,玄,58,4269,794
9,亶,58,6066,724
10,訾,58,6762,904
11,吏,58,3095,816
12,社,58,5328,392
13,坷,58,3799,596
14,西,58,8270,177
15,刀,58,5411,654
16,禄,58,3708,745
17,龙,58,3352,559
18,和,58,4733,330
19,萨,58,8881,345
20,省,58,11202,513
1,动,60,6443,584
2,弟,60,6297,776
3,器,60,4689,398
4,等,60,5579,364
5,旦,60,5878,544
6,鲁,60,4540,931
7,屯,60,5319,200
8,玄,60,5275,794
9,亶,60,5961,724
10,訾,60,5961,904
11,吏,60,3906,816
12,社,60,6240,392
13,坷,60,4506,596
14,西,60,8048,177
15,刀,60,5768,654
16,禄,60,4485,745
17,龙,60,4163,559
18,和,60,5739,330
19,萨,60,8111,345
20,省,60,7973,513
1,动,62,6009,584
2,弟,62,6304,776
3,器,62,5271,398
4,等,62,6308,364
5,旦,62,6418,544
6,鲁,62,3827,931
7,屯,62,4656,200
8,玄,62,7643,794
9,亶,62,7876,724
10,訾,62,7947,904
11,吏,62,3743,816
12,社,62,4874,392
13,坷,62,5881,596
14,西,62,8732,177
15,刀,62,6308,654
16,禄,62,3901,745
17,龙,62,4000,559
18,和,62,8107,330
19,萨,62,8901,345
20,省,62,2858,513
1,动,64,8495,584
2,弟,64,8944,776
3,器,64,4270,398
4,等,64,1262,364
5,旦,64,11373,544
6,鲁,64,6144,931
7,屯,64,7239,200
8,玄,64,7639,794
9,亶,64,11744,724
10,訾,64,514,904
11,吏,64,4933,816
12,社,64,8465,392
13,坷,64,5164,596
14,西,64,2270,177
15,刀,64,11263,654
16,禄,64,6212,745
17,龙,64,5190,559
18,和,64,8103,330
19,萨,64,12535,345
20,省,64,11239,513
1,动,66,7708,584
2,弟,66,8800,776
3,器,66,3851,398
4,等,66,6105,364
5,旦,66,6136,544
6,鲁,66,4980,931
7,屯,66,7182,200
8,玄,66,5902,794
9,亶,66,6486,724
10,訾,66,7427,904
11,吏,66,4170,816
12,社,66,7025,392
13,坷,66,4539,596
14,西,66,8864,177
15,刀,66,6026,654
16,禄,66,4914,745
17,龙,66,4427,559
18,和,66,6366,330
19,萨,66,10286,345
20,省,66,11713,513
1,动,68,7908,584
2,弟,68,10211,776
3,器,68,4150,398
4,等,68,5095,364
5,旦,68,5715,544
6,鲁,68,6763,931
7,屯,68,8488,200
8,玄,68,10275,794
9,亶,68,5611,724
10,訾,68,5729,904
11,吏,68,6029,816
12,社,68,9327,392
13,坷,68,4589,596
14,西,68,7710,177
15,刀,68,5605,654
16,禄,68,6223,745
17,龙,68,6286,559
18,和,68,10739,330
19,萨,68,8365,345
20,省,68,8807,513
1,动,70,12403,584
2,弟,70,12159,776
3,器,70,4575,398
4,等,70,3178,364
5,旦,70,6653,544
6,鲁,70,5356,931
7,屯,70,7960,200
8,玄,70,7647,794
9,亶,70,11253,724
10,訾,70,5964,904
11,吏,70,4407,816
12,社,70,8483,392
13,坷,70,4957,596
14,西,70,11605,177
15,刀,70,6543,654
16,禄,70,5461,745
17,龙,70,4664,559
18,和,70,8111,330
19,萨,70,11933,345
20,省,70,11985,513
1,福,71,2856,162
2,方,71,3230,318
3,神,71,2637,681
4,桃,71,763,968
5,滞,71,1639,177
6,粉,71,3369,474
7,问,71,3367,630
8,物,71,5476,849
9,忆,71,1581,351
10,召,71,2729,525
11,勿,71,3538,786
12,分,71,2556,992
13,肾,71,2826,492
14,舌,71,2603,699
15,离,71,2806,873
16,务,71,5312,187
17,娼,71,5655,373
18,尾,71,3792,200
19,誓,71,3781,184
20,绍,71,3134,168
1,福,73,1347,162
2,方,73,1316,318
3,神,73,1410,681
4,桃,73,2829,968
5,滞,73,3641,177
6,粉,73,1827,474
7,问,73,2826,630
8,物,73,1594,849
9,忆,73,5152,351
10,召,73,5724,525
11,勿,73,3103,786
12,分,73,642,992
13,肾,73,1599,492
14,舌,73,5851,699
15,离,73,5744,873
16,务,73,3609,187
17,娼,73,3577,373
18,尾,73,3884,200
19,誓,73,6637,184
20,绍,73,6382,168
1,福,75,1658,162
2,方,75,2402,318
3,神,75,564,681
4,桃,75,413,968
5,滞,75,1585,177
6,粉,75,2612,474
7,问,75,2788,630
8,物,75,1529,849
9,忆,75,1580,351
10,召,75,1951,525
11,勿,75,3566,786
12,分,75,1728,992
13,肾,75,753,492
14,舌,75,2037,699
15,离,75,2819,873
16,务,75,4202,187
17,娼,75,5918,373
18,尾,75,3416,200
19,誓,75,3764,184
20,绍,75,2568,168
1,福,77,1261,162
2,方,77,2274,318
3,神,77,2247,681
4,桃,77,130,968
5,滞,77,1029,177
6,粉,77,2162,474
7,问,77,2804,630
8,物,77,2457,849
9,忆,77,1191,351
10,召,77,2411,525
11,勿,77,2950,786
12,分,77,1600,992
13,肾,77,2436,492
14,舌,77,2838,699
15,离,77,4723,873
16,务,77,3706,187
17,娼,77,4535,373
18,尾,77,3319,200
19,誓,77,5957,184
20,绍,77,3369,168
1,福,79,3231,162
2,方,79,3269,318
3,神,79,1121,681
4,桃,79,677,968
5,滞,79,1535,177
6,粉,79,3415,474
7,问,79,3363,630
8,物,79,738,849
9,忆,79,1437,351
10,召,79,1717,525
11,勿,79,3204,786
12,分,79,2595,992
13,肾,79,1310,492
14,舌,79,1630,699
15,离,79,2823,873
16,务,79,4204,187
17,娼,79,4138,373
18,尾,79,5376,200
19,誓,79,4427,184
20,绍,79,2161,168
1,动,72,8235,584
2,弟,72,8105,776
3,器,72,7191,398
4,等,72,3634,364
5,旦,72,3914,544
6,鲁,72,6160,931
7,屯,72,7385,200
8,玄,72,8203,794
9,亶,72,3883,724
10,訾,72,4574,904
11,吏,72,5763,816
12,社,72,7931,392
13,坷,72,7867,596
14,西,72,6011,177
15,刀,72,3804,654
16,禄,72,5814,745
17,龙,72,6020,559
18,和,72,8667,330
19,萨,72,5892,345
20,省,72,6179,513
1,动,74,7501,584
2,弟,74,11742,776
3,器,74,4117,398
4,等,74,7710,364
5,旦,74,7682,544
6,鲁,74,3826,931
7,屯,74,6320,200
8,玄,74,5335,794
9,亶,74,7483,724
10,訾,74,7486,904
11,吏,74,3359,816
12,社,74,6509,392
13,坷,74,4549,596
14,西,74,8281,177
15,刀,74,7572,654
16,禄,74,3754,745
17,龙,74,3616,559
18,和,74,5799,330
19,萨,74,8362,345
20,省,74,8204,513
1,动,76,3863,584
2,弟,76,3673,776
3,器,76,3543,398
4,等,76,4677,364
5,旦,76,4657,544
6,鲁,76,7223,931
7,屯,76,9369,200
8,玄,76,6216,794
9,亶,76,5360,724
10,訾,76,5321,904
11,吏,76,6511,816
12,社,76,10752,392
13,坷,76,4612,596
14,西,76,6269,177
15,刀,76,4547,654
16,禄,76,6582,745
17,龙,76,6768,559
18,和,76,6680,330
19,萨,76,7371,345
20,省,76,7905,513
1,动,78,5873,584
2,弟,78,6201,776
3,器,78,3716,398
4,等,78,7373,364
5,旦,78,11428,544
6,鲁,78,4418,931
7,屯,78,5457,200
8,玄,78,5031,794
9,亶,78,11814,724
10,訾,78,12053,904
11,吏,78,4280,816
12,社,78,5591,392
13,坷,78,4122,596
14,西,78,0,177
15,刀,78,11318,654
16,禄,78,4486,745
17,龙,78,4537,559
18,和,78,5495,330
19,萨,78,0,345
20,省,78,0,513
1,动,80,7387,584
2,弟,80,7304,776
3,器,80,5991,398
4,等,80,6789,364
5,旦,80,6919,544
6,鲁,80,4797,931
7,屯,80,5551,200
8,玄,80,7703,794
9,亶,80,7782,724
10,訾,80,8746,904
11,吏,80,3658,816
12,社,80,6256,392
13,坷,80,7308,596
14,西,80,9493,177
15,刀,80,6809,654
16,禄,80,4810,745
17,龙,80,3915,559
18,和,80,8167,330
19,萨,80,0,345
20,省,80,0,513
