集,条文数,年龄,吉凶断词
卯集,4652,61,朝歌夕乐，克享成福。
卯集,4653,62,数该生子。
卯集,4654,,妻命属火。
卯集,4655,45,春风依旧到江城，又见江城锦绣丛。
卯集,4656,,慕廉颇李牧之风，学孙武穰苴之术。
卯集,4657,,琼林之宴，抡元之职。
卯集,4658,59，60,当依贡期。
卯集,4659,,让得前头一人口，杏花十里马蹄轻。
卯集,4660,33，34,事事添花锦，荣华自可夸。
卯集,4661,,衣钵一身。
卯集,4662,27，28,衣钵一身闲，四时尘不染。
卯集,4663,41，42,流年顺遂，谋事有功。
卯集,4664,58,朝起遇顺风，随时帆挂到江东。
卯集,4665,,俭约守之犹不足，过而不改其能乎。
卯集,4666,75，76,和气洋溢，室家吉庆。
卯集,4667,9，10,朝烟夕霞，转眼淹留。
卯集,4668,53，54,只宜守已，不可妄为。
卯集,4669,31，32,日日笑颜开，财通福自来。
卯集,4670,,此刻生人必刑夫。
卯集,4671,61，62,夫当入泮。
卯集,4672,37,一梦归西别阳台。
卯集,4673,53，54,家室安乐，事事更新。
卯集,4674,35，36,谋事有喜意，年来迥不同。
卯集,4675,61，62,夫登科甲。
卯集,4676,39，40,顺水行舟，瞬息千里。
卯集,4677,13，14,喜事祯祥天意来，阴阳调合百花开。
卯集,4678,56,稳足无求，往来春秋。
卯集,4679,63，64,夫当入泮。
卯集,4680,63，64,当依贡期。
卯集,4681,63，64,春寒秋热，光景无多。
卯集,4682,,桃红柳绿薏春风。
卯集,4683,53,巧利巧利，不逢自达。
卯集,4684,,兄弟怡怡，又入泮宫。
卯集,4685,45，46,行到桃源流水处，绿扬阴里任君眠。
卯集,4686,32,合卺杯中浮绿蚁，玉栏杆上醉春风。
卯集,4687,,尘埃掩镜台，母先赴瑶池。
卯集,4688,7，8,新月挂松梢，清风送佳音。
卯集,4689,,早岁平安，将来大垢。
卯集,4690,31，32,春到自然花烂熳，花开随处月光辉。
卯集,4691,37，38,春风依阳到阳城，处处花开锦绣明。
卯集,4692,38,退险而夷，逢凶化吉。
卯集,4693,38,数刻生子。
卯集,4694,37,皓月当空，清光不同。
卯集,4695,,囊橐中宜检点。
卯集,4696,45，46,金枝玉叶大家女。
卯集,4697,27，28,金枝毓秀，玉树生春。
卯集,4698,83，84,无事无求安乐业。
卯集,4699,,事业不专，进三退四。
卯集,4700,,问利三旬之外，取之左右逢原
卯集,4701,,小小兴家自富，微微立业有成。
卯集,4702,38,别却阳间长，往西方而短。
卯集,4703,,一生无患处，底事自安然。
卯集,4704,37,美貌佳人难共老，琵琶拨出数肠声。
卯集,4705,,年照文昌，领得青衫换布衣
卯集,4706,45，46,家无但石之储，忽起万金之富。
卯集,4707,22,登山有路，沿级而上。
卯集,4708,83，84,苍松石柏，难免根枯。
卯集,4709,,身居翰苑紫微宿。
卯集,4710,11，12,一阵暖风，消除寒气。
卯集,4711,11,荷花出水，风来飘动不相宜。
卯集,4712,,虽然未遂青云志，姓字终沾雨露深。
卯集,4713,75,珠沉沧海，镜破钗分。
卯集,4714,,真假三子，二子送老。
卯集,4715,,虽然未遂青云志，终须国学列诸生。
卯集,4716,18,二九之年丧，母先天定数。
卯集,4717,65,数该生子。
卯集,4718,79，80,晚年暮景宁，无茕独之忧。
卯集,4719,,得上贵之大挈，可力图其大用。
卯集,4720,,得内室而助家，隆隆兴起。
卯集,4721,65,风雨溟蒙，杨柳失色。
卯集,4722,59,子当辟雍。
卯集,4723,,问文无益，问武有余。
卯集,4724,35,摇曳轻风，不劳自举。
卯集,4725,45，46,管弦歌里度春风，兆民欢呼乐意浓。
卯集,4726,,擢星相照，非科即道。
卯集,4727,58,子当辟雍。
卯集,4728,49，50,年迈五旬，诰命相赠。
卯集,4729,45，46,气象峥嵘，门庭赫奕。
卯集,4730,36,不劳心力，谋事克济。
卯集,4731,,成家多握掌，立志无息肩。
卯集,4732,46,琴瑟调和，一弦忽断。
卯集,4733,37,景能无边一一收，春山秋水醉高楼。
卯集,4734,,晚景融融，自作笙歌。
卯集,4735,,不须卜甲子，甲子有余零。
卯集,4736,21，22,少乐多忧，常处不足。
卯集,4737,25,困于蔟藜，不见其妻。
卯集,4738,33，34,披麻相照，孝服临身。
卯集,4739,56,七八年未有小晦，九十之时日已晴。
卯集,4740,59，60,行人休息绿阴中，前去桃花处处同。
卯集,4741,,出身平常百姓家。
卯集,4742,39，40,财多堆积，事多相得。
卯集,4743,,其人数尽，定在十月。
卯集,4744,39,春到自然花烂熳，秋来随处月光辉。
卯集,4745,51,操舟遇风，江心颠倒。
卯集,4746,,父母全死于火年方合。
卯集,4747,34,事事添花锦，荣华可富身。
卯集,4748,,门中龙虎，阁上麒麟。
卯集,4749,,运至北方地，功名重于时。
卯集,4750,,辛卯之年，乡科及第。
卯集,4751,37，38,闷苦无事，正可谈经。
卯集,4752,32,大道推车，坦然进步。
卯集,4753,61，62,怀抱安舒，际遇相安。
卯集,4754,85，86,大限已尽。
卯集,4755,81，82,晚景更高强，东篱黄菊自生香。
卯集,4756,,再升县令。
卯集,4757,73，74,随取随足，老运安康。
卯集,4758,61，62,年年景色不相同，欢笑声中乐意浓。
卯集,4759,33，34,际会荣景，寅天之福。
卯集,4760,60,子当辟雍。
卯集,4761,,正副佳人，欢娱老景。
卯集,4762,,试问寿光何日尽，九旬已上有余年。
卯集,4763,53，54,光景非前日，内外总安然。
卯集,4764,16,天喜照临，宜室宜家。
卯集,4765,51，52,往来康庄，洋洋自得。
卯集,4766,33，34,龙归大海，虎入深山。
卯集,4767,29，30,春台日永，宝鼎生香。
卯集,4768,58,数该生子。
卯集,4769,,妻生命属木。
卯集,4770,39，40,春来万物生，天地造化融。
卯集,4771,33，34,享万年衽席之安，释上方焦劳之苦
卯集,4772,,初任选庶吉，翰林声价值千金。
卯集,4773,,文星照命，自然成名。
卯集,4774,,母逝父在，方合此刻。
卯集,4775,13，14,疾病相缠，神佑得安全。
卯集,4776,15,金谷园中秋色老，繁华洞里世间花。
卯集,4777,63，64,迷场不可入，易散而难聚。
卯集,4778,13，14,走到亲肠，得人指引。
卯集,4779,65,萱花茂盛，谁知今日孝服来。
卯集,4780,,娶得相如妇，方合此刻。
卯集,4781,62,三更漏尽早收星，便见东方日已明。
卯集,4782,49，50,闲得每相侵，晨昏未得寝。
卯集,4783,,其中有刑克，俱是先天数。
卯集,4784,53,子当辟雍。
卯集,4785,16,到底赁虚总是空，几度凄凉雨又蒙。
卯集,4786,33，34,散步重山去，山奇水亦奇。
卯集,4787,15,年将六秩，破耗其财。
卯集,4788,15，16,登楼未有梯，举步却徘徊。
卯集,4789,,初任守备。
卯集,4790,43，44,爽气生秋色，烦器顿解除。
卯集,4791,37，38,风雨凄凄，桃红柳绿减精神。
卯集,4792,70,数该生子。
卯集,4793,,破军星入限，流年有咎。
卯集,4794,35，36,仁途变幻，官讼交加。
卯集,4795,59，60,洗净菱花暗锁烟，翻然光景倍光明。
卯集,4796,53，54,芙蓉秋菊，晚景生春。
卯集,4797,65，66,思难图易，事乃克济。
卯集,4798,,莫恨妻儿无缘分，命中惟带一孤神。
卯集,4799,,但遇东方远，功名垂千古。
卯集,4800,43，44,相逢知己言，日日笑颜开。
卯集,4801,,命中注定六女。
卯集,4802,51，52,无是无非，安闲岁月。
卯集,4803,55,春入三阳，万物荣昌。
卯集,4804,,拨贡终身，以结一生之局。
卯集,4805,32,回也之寿，君亦如之。
卯集,4806,41,人度峡山，挣持之力。
卯集,4807,17,少年登科。
卯集,4808,20,路逢曲径人心迷，视日便知东与西。
卯集,4809,51,舟行浅滩，午潮正落。
卯集,4810,25，26,时运未通，事多反复。
卯集,4811,,父无多娶，家门之幸。
卯集,4812,61，62,月德星临门，庭前嘉气新。
卯集,4813,16,渐赌已破，输中难胜。
卯集,4814,30,谋事多反覆，大运未遇时。
卯集,4815,,水土之年，纳八品方合。
卯集,4816,,学纯而粹，气大而刚。
卯集,4817,53，54,谋事皆通，不劳心力也成功。
卯集,4818,38,山桥曲转，鼎新路阻。
卯集,4819,13，14,中天物色，照耀光华。
卯集,4820,49,寿止于此矣。
卯集,4821,13，14,出水荷花，亭亭直上。
卯集,4822,55,其人之亡，定在十一月。
卯集,4823,55，56,财帛破盗耗，无奈天数定。
卯集,4824,,财帛辐臻暗中来，坦然安乐笑颜开
卯集,4825,31，32,好花正赏，岂期夜雨又风吹。
卯集,4826,41,好事多磨，有情人终成眷属。
卯集,4827,17,草色萋萋，东风吹绿。
卯集,4828,20,姻缘长短皆前定，月缺花残数不饶。
卯集,4829,52,母命水年生，方合此刻。
卯集,4830,25，26,当入泮宫。
卯集,4831,,夫当登甲。
卯集,4832,61，62,无事平安。
卯集,4833,16,子命土年生，方合此刻。
卯集,4834,30,全凭筋骨力，断取一生财。
卯集,4835,,绍忠孝传家之宝，干谋略建国之心。
卯集,4836,,喜气上眉端，其年事事安。
卯集,4837,53，54,白发遮黄老，银须新紫袍。
卯集,4838,38,财散因好博，此地不可乐。
卯集,4839,13，14,数尽于此。
卯集,4840,49,犬当入泮。
卯集,4841,29,运已从人事，不妨猛图而遂事。
卯集,4842,12,韶光荏苒易长生。
卯集,4843,18,财帛定有耗，预知免一半。
卯集,4844,,仁义有亏，减寿减禄。
卯集,4845,22,阳和春景称人怀，花洒满园次第开。
卯集,4846,,兄弟三人，折了一个。
卯集,4847,32,帆遇顺风，瞬息千里。
卯集,4848,18,未知袁颜道，不胜又输人。
卯集,4849,24,新竹成竿，凌空而上。
卯集,4850,19，20,文星照命，当入泮宫。
卯集,4851,55，56,此日多得成，贵人指引喜盈盈。
卯集,4852,45，46,流年容易度，相遇乐平安。
卯集,4853,29,曲路推车，进退两难。
卯集,4854,,依贡终身，以结一生之局。
卯集,4855,,本艺学成归发达，半为生理半为田。
卯集,4856,61,喜气盈盈，家室安宁。
卯集,4857,19，20,乡榜题名。
卯集,4858,63，64,风急卷波涛，扁舟已近岸。
卯集,4859,,但行西方运，名就利亦成。
卯集,4860,,子命金年生方合此刻。
卯集,4861,,春宵夜长，空闺悱恻。
卯集,4862,19，20,名登金榜。
卯集,4863,,以监而选州官数由前定。
卯集,4864,17，18,犬生两口，白染罗巾。
卯集,4865,33，34,风宪行台，得意之时。
卯集,4866,27，28,慎固卦守，以康四海。
卯集,4867,,四字切记：莫失良机。
卯集,4868,75，76,乐事从容，日日笑颜。
卯集,4869,15，16,幼年登科。
卯集,4870,39，40,祸生意外，岂知意外不成空。
卯集,4871,,仗尔辛勤力，依人小利财。
卯集,4872,39，40,勃然而兴，门庭吉庆。
卯集,4873,19,财帛破耗，留之不住。
卯集,4874,31，32,不暖不寒，平和景色。
卯集,4875,41,楼头砧杵已无声，滴漏壶中曙色明。
卯集,4876,,癸酉之年，乡科及第。
卯集,4877,,货殖通名利，资财日发兴。
卯集,4878,63，64,九苞瑞气凤，五色麒麟祥。
卯集,4879,11，12,暖日融融，流光迅速。
卯集,4880,,诗文为生，方合此刻。
卯集,4881,11,春风布暖，和气称怀。
卯集,4882,19,潇潇洒洒图欢乐，货财耗去悔过迟
卯集,4883,20,财退如潮去，神亦不能资。
卯集,4884,,弃去功名志，朝夕作闲人。
卯集,4885,,癸酉之年，乡科及第。
卯集,4886,,发财凭运至，货物自生辉。
卯集,4887,,子木年生方合此刻。
卯集,4888,53，54,听凯歌于载路，嘉卓异于九重。
卯集,4889,,未出胎而亡父，抱天之恨。
卯集,4890,31，32,恩星相照，光明福随。
卯集,4891,,为人深怀，修养已到。
卯集,4892,,丁酉之年，鹿鸣宴饮。
卯集,4893,,招牌原写公平字，银钱交接便生心。
卯集,4894,20,财在吾身何等稳，鬼催人睹散如何。
卯集,4895,25，26,王事靡监，不遑将父。
卯集,4896,53，54,财帛勃发，天意从人。
卯集,4897,40，41,大顺小逆，顺逆不一。
卯集,4898,,财星居官禄，纳粟成名声。
卯集,4899,15，16,散财无常，霪雨遇风。
卯集,4900,50,数尽于此。
卯集,4901,51，52,朝夕费踌躇，从劳亦空虚。
卯集,4902,23,时运财散，有口不言。
卯集,4903,15,数该生子。
卯集,4904,65，66,推车周旋，辗转如意。
卯集,4905,,落落市廛中，经营限未通。
卯集,4906,37，38,举步皆得意，求谋事事通。
卯集,4907,45，46,雨足郊原草，萌芽尽舒展。
卯集,4908,77,融融三月景，萋萋百草芳。
卯集,4909,48,巨船出大海，布帆无恙挂西风。
卯集,4910,21,场中散白壁，因心是贪玩。
卯集,4911,37，38,行舟遇风，无往不利。
卯集,4912,55，56,沉滞不解，两眉强舒。
卯集,4913,21,腾腾散财，何耗之速。
卯集,4914,39，40,年华始尽.大数已终。
卯集,4915,37，38,伉居稳地，可去无咎。
卯集,4916,,市尘微利好，但恨富难成。
卯集,4917,23，24,月出南楼，光明照耀。
卯集,4918,,怀断断休休之度，仕巍巍荡荡之朝。
卯集,4919,67，68,锦绣丛中，事乐融融。
卯集,4920,39，40,报晓梦初醒，枝头听鸟鸣。
卯集,4921,21,莫道世无神，输钱皆是鬼。
卯集,4922,,寻常同一样，不必别姻缘。
卯集,4923,,手艺惟精熟，人求福自生。
卯集,4924,,淑人君子，其德不渝。
卯集,4925,31，32,如鸟伤翼，不能远举。
卯集,4926,25，26,甘雨和风三月天，游人乐无边。
卯集,4927,11，12,未识为人好与丑，但看行事假和真。
卯集,4928,17，18,名登金榜。
卯集,4929,,数有五子，三子送老。
卯集,4930,81，82,月至初弦，其光半掩。
卯集,4931,22,一堆金与银，场中一半入人手。
卯集,4932,41，42,否转为泰事更新，残冬去后有阳春。
卯集,4933,63,流年悲星照，破我许多财。
卯集,4934,73，74,明月正当空，弯弯曲曲转西东。
卯集,4935,65，66,到处是追随，祥光映紫微。
卯集,4936,45，46,花落又花开，春风次第来。
卯集,4937,11，12,莫恼繁华不到年，早安淡薄后来荣。
卯集,4938,63,退财只为想人财。
卯集,4939,53，54,风紧遇波浪，波浪几番愁。
卯集,4940,59，60,大怀开展，繁华耀目。
卯集,4941,58,十事谋来九事空，年年踪迹若飘蓬。
卯集,4942,67，68,官事相探，所为有咎。
卯集,4943,47，48,万里晴空，光明大道。
卯集,4944,59，60,双新辞世在何年，他日哀哉母为年。
卯集,4945,45,数该生子。
卯集,4946,,数定有灾缠，神祜度流年。
卯集,4947,26,谋为顺遂，万事呈祥。
卯集,4948,37，38,高楼擢司，进退而审。
卯集,4949,65，66,原是恨不可，所以退此财。
卯集,4950,39，40,心好事烦，家终朝复。
卯集,4951,37，38,一湾春水，溶溶无穷活计开。
卯集,4952,24,天上转星临，试赌散黄金。
卯集,4953,35，36,燕鸟于飞哺，出巢而堪宿。
卯集,4954,53,欲东而欲西，心中多少事。
卯集,4955,13，14,日月初光华，宇宙景色新。
卯集,4956,25,得失皆前定，已失不须恨。
卯集,4957,25,忘想他人财，自己反成破。
卯集,4958,47，48,玉蕴于荆山，未得圭璋选。
卯集,4959,39，40,泉清松影瘦，月白李花香，
卯集,4960,,读书应有分，白发始逢升。
卯集,4961,58,四字切记：当机立断。
卯集,4962,67，68,好将善决传儿辈，乐我消闲一片心。
卯集,4963,,饮酒茹荤无我份，数中注定一道人。
卯集,4964,59，60,小往大来，中正和平。
卯集,4965,26,破耗忽生，数所定也。
卯集,4966,,超升部属，会转京堂。
卯集,4967,26,阴阳颠倒，财迷场散。
卯集,4968,27，28,极止千红万紫，七零八落。
卯集,4969,45，46,行到桃源流水处，绿杨影里任君眠。
卯集,4970,39，40,劳而有功，能事克济。
卯集,4971,27，28,龙泉利器，淬锋未试。
卯集,4972,45，46,富来有基业，不必费踌躇。
卯集,4973,69，70,芬芳春将尽，南枝鸟倦啼。
卯集,4974,27,火罗入限，流年有咎。
卯集,4975,,父故于木年方合。
卯集,4976,41，42,文章入泮。
卯集,4977,27,博绿呼红不是好，定数输了始彷徨。
卯集,4978,35，36,鸟呼树枝上，乘时乐意来。
卯集,4979,59，60,不必问行藏，老运不安康。
卯集,4980,44,韶光明媚，物色文章。
卯集,4981,,有利攸往，甘愿如今。
卯集,4982,,华盖相逢刑克重，数定披头去修行。
卯集,4983,56,物色逢春至，桃源正及时。
卯集,4984,,财帛自然发，运行天凑合。
卯集,4985,33，34,莫闲微致恨，只作未闻香。
卯集,4986,86，87,安乐无惊人，舒畅听钟声。
卯集,4987,17，18,无祸无灾，明星璀灿。
卯集,4988,41，42,文明之象，时当有为。
卯集,4989,31，32,骨肉相刑，西风洒泪。
卯集,4990,,妻妾子众神仙难，断子仪命世上有。
卯集,4991,23，24,出家除俗累，解脱入空门。
卯集,4992,,官至兵部，以乐终身。
卯集,4993,25，26,天祐吉人，乐事有功。
卯集,4994,,幼年行事实难为，逆水行舟又遇风。
卯集,4995,47，48,财帛勃发，谋事凑合。
卯集,4996,53，54,村村花柳，到处吹呼。
卯集,4997,34,利物利平，生意兴隆。
卯集,4998,42,恩星相照，闺中福随。
卯集,4999,65，66,重重如关锁，进退不得意。
卯集,5000,,儿女有喜，满门炽昌。
辰集,5001,,姊妹二人，木年生方合。
辰集,5002,,兄弟九人，数有二贵。
辰集,5003,,欲借杨枝水，几尘不染心。
辰集,5004,,翰林而拜相，老来衣锦还乡
辰集,5005,61，62,灾晦缠身，有犯太岁。
辰集,5006,59，60,先得而后失，秋色更朦胧。
辰集,5007,21，22,水中月色可玩，不可狎计多无成
辰集,5008,,积德数注全，兄弟庆同年
辰集,5009,67，68,旱草焦枯，俄然复苏。
辰集,5010,,力能创业耐艰辛，不是萎靡不振人。
辰集,5011,63,君弃世从此，红尘不沾巾。
辰集,5012,39，40,一日言再曰昌。
辰集,5013,47，48,如日之升，如月永恒。
辰集,5014,,兄弟十人，数有六贵。
辰集,5015,,公平正直，力担重任。
辰集,5016,69，70,人事有不足，日月有盈亏。
辰集,5017,,有子先折，赖孙送终。
辰集,5018,49，50,如川之方，可保平安。
辰集,5019,,数有二子，一子送老。
辰集,5020,,徒弟六人，一人送老。
辰集,5021,35，36,金风一起枝头动，欲渡清溪欠便舟。
辰集,5022,39，40,周道坦坦，进可安全。
辰集,5023,31，32,阳菊生秋色，无日不悠悠。
辰集,5024,61，62,寒山秋浦月，肠断杜鹃声。
辰集,5025,,官至巡抚而致仕。
辰集,5026,21，22,薄伐独狁，以奏谓公。
辰集,5027,43，44,日进无疆，与时偕行。
辰集,5028,53，54,无语对芳樽，肠断到黄昏。
辰集,5029,57，58,座中无物不清凉，别是人门洞府仙。
辰集,5030,57，58,长江避风波，一水万里长。
辰集,5031,27,片时欢娱且相亲，阴暗阴晴无定处。
辰集,5032,43，44,暗中福人庇，终始得安康。
辰集,5033,45，46,事有成局，利禄从心。
辰集,5034,31，32,百尺竿头堪进步，君能辗转莫迟回。
辰集,5035,47，48,一曰平再曰安。
辰集,5036,35，36,三阳方始泰，君子道亨通。
辰集,5037,,数有三子，一子送老。
辰集,5038,41,泰利顺贞，君子攸行。
辰集,5039,43，44,安居思危，凡事顺遂。
辰集,5040,51,福享安然，事无阻碍。
辰集,5041,35，36,不岐不求，终日悠悠。
辰集,5042,39，40,门外声嚎嚎，垂帘不高照。
辰集,5043,31，32,云开日出自光辉，进步前程有渡舟。
辰集,5044,61，62,时有可为，乘机敏锐。
辰集,5045,37，38,富彩日新，位至品卿。
辰集,5046,21，22,一家和气运兴隆，谋事多成财自丰。
辰集,5047,43，44,君子日更新，相逢大吉人。
辰集,5048,13，14,肥马轻裘，少年行乐。
辰集,5049,37，38,浪平风静，正好行舟。
辰集,5050,77，78,平安之福，门庭之器。
辰集,5051,37，38,如饮醇醪，其味深厚。
辰集,5052,43，44,三边提督，将相威振。
辰集,5053,45，46,进退咸宁，东西有得。
辰集,5054,31，32,德润于身，无往不吉。
辰集,5055,47，48,优游闲岁月，不管落花飞。
辰集,5056,35，36,乘驹千里行，风帆指顾中。
辰集,5057,,利有攸往，昔愿如今。
辰集,5058,41，42,凿井未得泉，弃之而废力。
辰集,5059,43，44,终朝啸傲南窗下，自是羲皇上古人。
辰集,5060,51，52,宜享日前福，莫虚日后忧。
辰集,5061,63，64,享其寿福，自在逍遥。
辰集,5062,54,有弓无箭，欲射不能。
辰集,5063,57，58,沟中有深味，不与别人同。
辰集,5064,50，51,龙剑出尘射斗牛，财源辐利亨通。
辰集,5065,61，62,人有福泽前生定，不必迟疑自己行。
辰集,5066,31，32,君子受祯，其旋元吉。
辰集,5067,55，56,俾而富贵，昌且大吉。
辰集,5068,27，28,君子日更新，相逢大吉人。
辰集,5069,49，50,衣禄丰盈，室家安宁。
辰集,5070,59,满目韶光观不尽，一旦无常作故人。
辰集,5071,47，48,终日经营，吉利相从。
辰集,5072,31，32,心闲身乐，宜室宜家。
辰集,5073,47，48,独守孤灯，心步月疏。
辰集,5074,55，56,凤凰来仪，祯祥之兆。
辰集,5075,37，38,皇道荡荡，君子贞吉。
辰集,5076,63，64,不为世所累，享平安之福。
辰集,5077,,萱花先萎，椿树后折。
辰集,5078,37，38,绿竹猗猗，清风明月。
辰集,5079,33，34,视履考祥，其旋元寺。
辰集,5080,31，32,际遇亨通，所谋皆遂。
辰集,5081,19，20,荷花出水，亭亭玉立。
辰集,5082,51，52,东处得来西处失，得失不一。
辰集,5083,55，56,泪欲尽时人难语，情关骨肉恨如何。
辰集,5084,,官至将军禄位高，光前裕后显富豪。
辰集,5085,55，56,原来无事费心机，还是君家运未齐。
辰集,5086,37，38,忽然而贵忽然贱，运有高低月缺圆。
辰集,5087,59，60,欲作表心福，清晨一炷香。
辰集,5088,42,鸠一声鹃一声，鸠鹃好伤情。
辰集,5089,,母先故于金年。
辰集,5090,,三子送老，一枝挺秀。
辰集,5091,35，36,大人豹变，文人之炳。
辰集,5092,,数有四子，一子送老。
辰集,5093,55，56,忽闻鹊噪两三声，声里藏凶未有音。
辰集,5094,37，38,既往蹉跎，将来顺利。
辰集,5095,55，56,鱼游涸辙，但望时雨而升阳。
辰集,5096,78,得福且福，莫为儿孙劳碌。
辰集,5097,78,何时方可得见非，无是也无非。
辰集,5098,,东风初送暖，春草绿生光。
辰集,5099,,数有五子，一子送老。
辰集,5100,,兄弟九人，数有六贵。
辰集,5101,47，48,贤惠迪吉，随从逆凶。
辰集,5102,59，60,波浪虽高，孤舟系得牢。
辰集,5103,,人事从容，家门迪吉。
辰集,5104,,数有六子，一子送老。
辰集,5105,,官至都统，威权重职。
辰集,5106,57，58,亭午日光，文明之象。
辰集,5107,,兄弟八人，数有七贵。
辰集,5108,,礼蔽文章，温良得度。
辰集,5109,51，52,兰亭修楔高，贤醉寻花乐。
辰集,5110,31，32,指挥如意待时亨，万物峥嵘福自随。
辰集,5111,,借问一生身外事，遇虎之年是归期。
辰集,5112,75，76,无福无灾，安身福来。
辰集,5113,41，42,靡芜秋色，一阳初动便生芽。
辰集,5114,21，22,门庭任从容，花鸟禽鱼曲槛中。
辰集,5115,23，24,机会相从，安康惟兆。
辰集,5116,,数有七子，一子送老。
辰集,5117,,性淡意坚，贞节之妇。
辰集,5118,,火年金年两克夫，金年三配属羊鼠。
辰集,5119,,数有八子，一子送老。
辰集,5120,,妻配马命，庶免其刑。
辰集,5121,33，34,拾得琼花第一枝，长安城里马蹄驰。
辰集,5122,47，48,光景气滔滔，好过旧时机。
辰集,5123,34,洞房花烛。
辰集,5124,,旺夫益子，衣禄丰盈。
辰集,5125,47，48,入限无关，津江寂寞断行人。
辰集,5126,27，28,狡兔投林，灾晦相侵。
辰集,5127,13，14,幼年入泮，人生大幸。
辰集,5128,37,学礼学诗，知东道西。
辰集,5129,60,事未可料当，因祸而得福。
辰集,5130,,天哭催人，刑克老母。
辰集,5131,,官至总河而致仕。
辰集,5132,,数有九子，一子送老。
辰集,5133,53，54,朝欢暮乐及歌诗，鼓舞春风又及时。
辰集,5134,48,此年丧母，二年泣血。
辰集,5135,65，66,计功图利，得失相兼。
辰集,5136,29，30,时运称怀，顺福自来。
辰集,5137,55，56,化日舒长，人民乐意。
辰集,5138,,数有十子，一子送老。
辰集,5139,55，56,民安物阜咸，均平人得全。
辰集,5140,,中年失妻，蓄宾教子。
辰集,5141,53,老年丧母，三年泣血。
辰集,5142,57，58,吉利相从，鸢飞鱼跃。
辰集,5143,70,情疏种有年，疾风莫相催。
辰集,5144,,徒弟四人，得以送老。
辰集,5145,73，74,无是无非，安闲岁月。
辰集,5146,,无本生意，厚福悠悠。
辰集,5147,33，34,远务近为事，事成及时进。
辰集,5148,,命与道相同，独子送终天注定。
辰集,5149,37，38,入户春风送和气。
辰集,5150,29，30,一举成名，天降麟儿。
辰集,5151,45,北堂一夜却秋霜，萱草离披忧未忘。
辰集,5152,25，26,上高楼而顾后，还恐失其足。
辰集,5153,,女金年生，方合此刻。
辰集,5154,33，34,财聚成家，从此立业。
辰集,5155,75，76,牛背有金珠，春风遍草庐。
辰集,5156,47，48,冷落离披，雨中桃李。
辰集,5157,55,强把悉怀变笑容，心中烦闷不堪言。
辰集,5158,41，42,一妻一妻又一妻，四度见佳妻。
辰集,5159,57，58,炎气薰人，楼上风生。
辰集,5160,,未婚之前，已谙人事。
辰集,5161,,数有三子，二子送老。
辰集,5162,,椿萱何日萎，母先赴瑶池。
辰集,5163,55，56,蹇马滔泥沙，步步当头难。
辰集,5164,36,扁舟一叶江鸟少，寄语舟人把舵穿。
辰集,5165,,兄弟八人，数当尽贵。
辰集,5166,69，70,安居处世，纳福呈祥。
辰集,5167,52,衣锦更藏珠，年年物色如。
辰集,5168,49，50,巧语阳春，音谐律吕。
辰集,5169,37，38,诩负冲天志未伸，不如坚守待新春。
辰集,5170,37，38,春风得意桃花红，上下楼台物色浓。
辰集,5171,60,椿树风吹折，定于耳顺年。
辰集,5172,,挥已定规模，逮方来阀阅。
辰集,5173,43，44,生计顺相从，行之无不和。
辰集,5174,53，54,忧心事多，强为欢笑。
辰集,5175,55，56,行路事危险，相逢不善人。
辰集,5176,,兄弟九人，数有八贵。
辰集,5177,39，40,不须磨刮镜中尘，日照颜容色倍新。
辰集,5178,,数有四子.二子送老。
辰集,5179,39，40,夙夜惟寅，直哉惟清。
辰集,5180,,真假六子，得以送老。
辰集,5181,27,数该生子。
辰集,5182,37，38,桃李近清明，荣华足乐意。
辰集,5183,,长子不孝，数内先知。
辰集,5184,,真假三子，送老两儿。
辰集,5185,68,为御从征束晚妆，从今不必问行藏。
辰集,5186,49，50,屈指年来命运乖，解眉今日得欢怀。
辰集,5187,59，60,人意周旋天意差，红梅消瘦不成花。
辰集,5188,,一品皇候，岂寻物色。
辰集,5189,38,际遇有乘，黄昏到处迷。
辰集,5190,,数有三子，二子送老。
辰集,5191,,数有六子，二子送老。
辰集,5192,,重可双亲不一名，数定依旧祝亲生。
辰集,5193,47,运至时行，进退有益。
辰集,5194,,妻配蛇命，方能白手和谐。
辰集,5195,27，28,古曜相扶免祸殃，平安度日福如常。
辰集,5196,39，40,寒气消除，大吉之象。
辰集,5197,,数有七子，二子送老。
辰集,5198,15，16,圆碎无穷荷叶珠，轻风吹动不相宜。
辰集,5199,,椿萱俱已谢，椿树受灾先。
辰集,5200,,兄火年生方合此刻。
辰集,5201,76,灾晦缠身，有犯太岁。
辰集,5202,15,春光花柳媚，相看乐忘忧。
辰集,5203,63,寒鸦枯木日沉西，门外青山事与非。
辰集,5204,59，60,相度太平时，花酒又一杯。
辰集,5205,73，74,曲水行舟多费力，有时顺着有时逆。
辰集,5206,,兄弟九人，数有五贵。
辰集,5207,,四子水木土金，若生火年不是子。
辰集,5208,76,朋友有知己，相处乐平安。
辰集,5209,,虽是苦奔驰，钱财积有余。
辰集,5210,55，56,将乐好光阴，不用求谋福自臻。
辰集,5211,7,幼年丧严亲，人子太不幸。
辰集,5212,,官至翰林学，衣锦回乡归。
辰集,5213,17，18,昼长人静草芊芊，景色融花正妍妍。
辰集,5214,51,自有渔人指路岐，从此营谋遂机遇
辰集,5215,,春来万物生，天地造化融。
